id	name	name_in_spanish	flag	population	exports	government_type	energy_production
-1	Northern Cyprus	Chipre del Norte	🇨🇾	0	0	null	
-2	Kosovo	Kosovo	🇽🇰	0	0	null	
-3	Somaliland	Somalilandia	🇸🇴	0	0	null	
4	Afghanistan	Afganistán	🇦🇫	40121552	1476000000	Emirato unitario	0.97
8	Albania	Albania	🇦🇱	3107100	9178000000	República parlamentaria	9.01
10	Antarctica	Antártica	🇦🇶	0	0	null	0
12	Algeria	Argelia	🇩🇿	47022473	58816000000	República semipresidencialista	96.3
16	American Samoa	Samoa Americana	🇦🇸	43895	409000000	null	0.17
20	Andorra	Andorra	🇦🇩	85370	2736000000	Monarquía parlamentaria	0
24	Angola	Angola	🇦🇴	37202061	36961000000	República presidencialista	17.94
28	Antigua and Barbuda	Antigua y Barbuda	🇦🇬	102634	1217000000	Monarquía constitucional	0.36
31	Azerbaijan	Azerbaiyán	🇦🇿	10650239	35487000000	República semipresidencialista	28.02
32	Argentina	Argentina	🇦🇷	46994384	83359000000	República presidencialista	152.51
36	Australia	Australia	🇦🇺	26768598	447508000000	Monarquía constitucional	281.64
40	Austria	Austria	🇦🇹	8967982	306466000000	República parlamentaria	78.77
44	Bahamas	Bahamas	🇧🇸	410862	4744000000	Monarquía constitucional	2.05
48	Bahrain	Baréin	🇧🇭	1566888	40344000000	Monarquía constitucional	36.17
50	Bangladesh	Bangladés	🇧🇩	168697184	58885000000	República parlamentaria	113.86
51	Armenia	Armenia	🇦🇲	2976765	14130000000	República parlamentaria	8.89
52	Barbados	Barbados	🇧🇧	304139	2228000000	República parlamentaria	1.1
56	Belgium	Bélgica	🇧🇪	11977634	535174000000	Monarquía constitucional	76.03
60	Bermuda	Bermudas	🇧🇲	72800	1136000000	null	0.64
64	Bhutan	Bután	🇧🇹	884546	815050000	Monarquía constitucional	11.16
68	Bolivia, Plurinational State of	Bolivia	🇧🇴	12311974	11975000000	República presidencialista	12.35
70	Bosnia and Herzegovina	Bosnia y Herzegovina	🇧🇦	3798671	11942000000	República parlamentaria	15.16
72	Botswana	Botsuana	🇧🇼	2450668	8900000000	República parlamentaria mixta	2.59
74	Bouvet Island	Isla Bouvet	🇧🇻	0	0	null	0
76	Brazil	Brasil	🇧🇷	220051512	389626000000	República presidencialista	745.72
84	Belize	Belice	🇧🇿	415789	1462000000	Monarquía constitucional 	0.45
86	British Indian Ocean Territory	Territorio Británico del Océano Índico	🇮🇴	0	0	null	0
90	Solomon Islands	Islas Salomón	🇸🇧	726799	546025000	Monarquía constitucional	0.11
92	Virgin Islands, British	Islas Vírgenes Británicas	🇻🇬	104377	23000000	null	0.17
96	Brunei Darussalam	Brunéi	🇧🇳	491900	14411000000	Monarquía absoluta	5.59
100	Bulgaria	Bulgaria	🇧🇬	6782659	62118000000	República parlamentaria	38.33
104	Myanmar	Birmania	🇲🇲	57527139	20400000000	Junta militar	24.68
108	Burundi	Burundi	🇧🇮	13590102	285105000	República presidencialista	0.39
112	Belarus	Bielorrusia	🇧🇾	9501451	47870000000	República presidencialista	45.69
116	Cambodia	Camboya	🇰🇭	17063669	27753000000	Monarquía constitucional 	15.72
120	Cameroon	Camerún	🇨🇲	30966105	8641000000	República presidencialista	8.33
124	Canada	Canadá	🇨🇦	38794813	717677000000	Monarquía parlamentaria	636.79
132	Cape Verde	Cabo Verde	🇨🇻	611014	951224000	República semipresidencialista	0.5
136	Cayman Islands	Islas Caimán	🇰🇾	66653	4054000000	null	0.7
140	Central African Republic	República Centroafricana	🇨🇫	5650957	293074000	República presidencialista	0.14
144	Sri Lanka	Sri Lanka	🇱🇰	21982608	17327000000	República semipresidencialista	17.38
148	Chad	Chad	🇹🇩	19093595	6503000000	República semipresidencialista	0.39
152	Chile	Chile	🇨🇱	18664652	104349000000	República presidencialista	89.26
156	China	China	🇨🇳	1416043270	3511000000000	Unipartidista	10086.88
158	Taiwan, Province of China	Taiwán	🇹🇼	23595274	388490000000	null	288.56
162	Christmas Island	Isla de Navidad	🇨🇽	1692	0	null	0
166	Cocos (Keeling) Islands	Islas Cocos	🇨🇨	593	0	null	0
170	Colombia	Colombia	🇨🇴	49588357	67762000000	República presidencialista	87.51
174	Comoros	Comoras	🇰🇲	900141	165347000	República presidencialista	0.14
175	Mayotte	Mayotte	🇾🇹	0	0	null	0
178	Congo	República del Congo	🇨🇬	6097665	7752000000	República presidencialista	5.17
180	Congo, the Democratic Republic of the	República Democrática del Congo	🇨🇩	115403027	22354000000	República semipresidencialista	15.9
184	Cook Islands	Islas Cook	🇨🇰	7761	31400000	Monarquía constitucional	0.04
188	Costa Rica	Costa Rica	🇨🇷	5265575	33699000000	República presidencialista	12.38
191	Croatia	Croacia	🇭🇷	4150116	44969000000	República parlamentaria	15.12
192	Cuba	Cuba	🇨🇺	10966038	8769000000	Unipartidista	15.29
196	Cyprus	Chipre	🇨🇾	1320525	28808000000	República presidencialista	4.55
203	Czech Republic	República Checa	🇨🇿	10837890	236688000000	República parlamentaria	72.82
204	Benin	Benín	🇧🇯	14697052	4154000000	República presidencialista	1
208	Denmark	Dinamarca	🇩🇰	5973136	278917000000	Monarquía parlamentaria	35.18
212	Dominica	Dominica	🇩🇲	74661	185062000	República parlamentaria	0.15
214	Dominican Republic	República Dominicana	🇩🇴	10815857	25843000000	República presidencialista	25.94
218	Ecuador	Ecuador	🇪🇨	18309984	34640000000	República presidencialista	33
222	El Salvador	El Salvador	🇸🇻	6628702	10629000000	República presidencialista	7.05
226	Equatorial Guinea	Guinea Ecuatorial	🇬🇶	1795834	6231000000	República presidencialista	1.57
231	Ethiopia	Etiopía	🇪🇹	118550298	10865000000	República parlamentaria	18.26
232	Eritrea	Eritrea	🇪🇷	6343956	624300000	Unipartidista	0.44
233	Estonia	Estonia	🇪🇪	1193791	31939000000	República parlamentaria	6.2
234	Faroe Islands	Islas Feroe	🇫🇴	52933	2219000000	null	0.48
238	Falkland Islands (Malvinas)	Islas Malvinas	🇫🇰	3662	257300000	null	0.01
239	South Georgia and the South Sandwich Islands	Islas Georgias del Sur y Sandwich del Sur	🇬🇸	0	0	null	
242	Fiji	Fiyi	🇫🇯	951611	2376000000	República parlamentaria	1.15
246	Finland	Finlandia	🇫🇮	5626414	122953000000	República parlamentaria	82.17
248	Åland Islands	Åland	🇦🇽	0	0	null	0
250	France	Francia	🇫🇷	68374591	1052000000000	República semipresidencialista	560.11
254	French Guiana	Guayana Francesa	🇬🇫	0	0	null	0.98
258	French Polynesia	Polinesia Francesa	🇵🇫	0	162000000	null	0.71
260	French Southern Territories	Territorios Australes Franceses	🇹🇫	0	0	null	0
262	Djibouti	Yibuti	🇩🇯	994974	5674000000	República presidencialista	0.2
266	Gabon	Gabón	🇬🇦	2455105	12935000000	República presidencialista	3.19
268	Georgia	Georgia	🇬🇪	4900961	15161000000	República parlamentaria	14.26
270	Gambia	Gambia	🇬🇲	2523327	267377000	República presidencialista	0.51
275	Palestinian Territory, Occupied	Palestina	🇵🇸	0	0	República semipresidencialista	1.02
276	Germany	Alemania	🇩🇪	84119100	2104000000000	República parlamentaria	493
288	Ghana	Ghana	🇬🇭	34589092	25744000000	República presidencialista	24.29
292	Gibraltar	Gibraltar	🇬🇮	29683	202300000	null	0.22
296	Kiribati	Kiribati	🇰🇮	116545	19677000	República parlamentaria mixta	0.04
300	Greece	Grecia	🇬🇷	10461091	106650000000	República parlamentaria	56.98
304	Greenland	Groenlandia	🇬🇱	57751	1147000000	null	0.54
308	Grenada	Granada	🇬🇩	114621	899153000	Monarquía parlamentaria	0.24
312	Guadeloupe	Guadalupe	🇬🇵	0	0	null	1.64
316	Guam	Guam	🇬🇺	169532	186000000	null	1.8
320	Guatemala	Guatemala	🇬🇹	18255216	17308000000	República presidencialista	13.46
324	Guinea	Guinea	🇬🇳	13986179	8898000000	Junta militar	4.05
328	Guyana	Guyana	🇬🇾	794099	11536000000	República semipresidencialista	1.34
