id	name	population
-1	Chipre del Norte	0
-2	Kosovo	0
-3	Somalilandia	0
004	Afganistán	40121552
008	Albania	3107100
010	Antártica	0
012	Argelia	47022473
016	Samoa Americana	43895
020	Andorra	85370
024	Angola	37202061
028	Antigua y Barbuda	102634
031	Azerbaiyán	10650239
032	Argentina	46994384
036	Australia	26768598
040	Austria	8967982
044	Bahamas	410862
048	Baréin	1566888
050	Bangladés	168697184
051	Armenia	2976765
052	Barbados	304139
056	Bélgica	11977634
060	Bermudas	72800
064	Bután	884546
068	Bolivia	12311974
070	Bosnia y Herzegovina	3798671
072	Botsuana	2450668
074	Isla Bouvet	0
076	Brasil	220051512
084	Belice	415789
086	Territorio Británico del Océano Índico	0
090	Islas Salomón	726799
092	Islas Vírgenes Británicas	104377
096	Brunéi	491900
100	Bulgaria	6782659
104	Birmania	57527139
108	Burundi	13590102
112	Bielorrusia	9501451
116	Camboya	17063669
120	Camerún	30966105
124	Canadá	38794813
132	Cabo Verde	611014
136	Islas Caimán	66653
140	República Centroafricana	5650957
144	Sri Lanka	21982608
148	Chad	19093595
152	Chile	18664652
156	China	1416043270
158	Taiwán	23595274
162	Isla de Navidad	1692
166	Islas Cocos	593
170	Colombia	49588357
174	Comoras	900141
175	Mayotte	0
178	República del Congo	6097665
180	República Democrática del Congo	115403027
184	Islas Cook	7761
188	Costa Rica	5265575
191	Croacia	4150116
192	Cuba	10966038
196	Chipre	1320525
203	República Checa	10837890
204	Benín	14697052
208	Dinamarca	5973136
212	Dominica	74661
214	República Dominicana	10815857
218	Ecuador	18309984
222	El Salvador	6628702
226	Guinea Ecuatorial	1795834
231	Etiopía	118550298
232	Eritrea	6343956
233	Estonia	1193791
234	Islas Feroe	52933
238	Islas Malvinas	3662
239	Islas Georgias del Sur y Sandwich del Sur	0
242	Fiyi	951611
246	Finlandia	5626414
248	Åland	0
250	Francia	68374591
254	Guayana Francesa	0
258	Polinesia Francesa	0
260	Territorios Australes Franceses	0
262	Yibuti	994974
266	Gabón	2455105
268	Georgia	4900961
270	Gambia	2523327
275	Palestina	0
276	Alemania	84119100
288	Ghana	34589092
292	Gibraltar	29683
296	Kiribati	116545
300	Grecia	10461091
304	Groenlandia	57751
308	Granada	114621
312	Guadalupe	0
316	Guam	169532
320	Guatemala	18255216
324	Guinea	13986179
328	Guyana	794099
332	Haití	11753943
334	Islas Heard y McDonald	0
336	Ciudad del Vaticano	1000
340	Honduras	9529188
344	Hong Kong	7297821
348	Hungría	9855745
352	Islandia	364036
356	India	1409128296
360	Indonesia	281562465
364	Irán	88386937
368	Irak	42083436
372	Irlanda	5233461
376	Israel	9402617
380	Italia	60964931
384	Costa de Marfil	29981758
388	Jamaica	2823713
392	Japón	123201945
398	Kazajistán	20260006
400	Jordania	11174024
404	Kenia	58246378
408	Corea del Norte	26298666
410	Corea del Sur	52081799
414	Kuwait	3138355
417	Kirguistán	6172101
418	Laos	7953556
422	Líbano	5364482
426	Lesoto	2227548
428	Letonia	1801246
430	Liberia	5437249
434	Libia	7361263
438	Liechtenstein	40272
440	Lituania	2628186
442	Luxemburgo	671254
446	Macao	644426
450	Madagascar	29452714
454	Malaui	21763309
458	Malasia	34564810
462	Maldivas	388858
466	Malí	21990607
470	Malta	469730
474	Martinica	0
478	Mauritania	4328040
480	Mauricio	1310504
484	México	130739927
492	Mónaco	31813
496	Mongolia	3281676
498	Moldavia	3599528
499	Montenegro	599849
500	Montserrat	5468
504	Marruecos	37387585
508	Mozambique	33350954
512	Omán	3901992
516	Namibia	2803660
520	Nauru	9892
524	Nepal	31122387
528	Países Bajos	17772378
531	Curazao	153289
533	Aruba	125063
534	Sint Maarten	32996
535	Caribe Neerlandés	0
540	Nueva Caledonia	304167
548	Vanuatu	318007
554	Nueva Zelanda	5161211
558	Nicaragua	6676948
562	Níger	26342784
566	Nigeria	236747130
570	Niue	2000
574	Isla Norfolk	1748
578	Noruega	5509733
580	Islas Marianas del Norte	51118
581	Las islas Ultramarinas Menores de los Estados Unidos​​	0
583	Micronesia	99603
584	Islas Marshall	82011
585	Palaos	21864
586	Pakistán	252363571
591	Panamá	4470241
598	Papúa Nueva Guinea	10046233
600	Paraguay	7522549
